ScenarioID,Iteration,Timestep,TransitionGroupID,Amount
128,1,2003,Succession Post Fire: Ponderosa Pine Group [Type],2600
128,1,2003,Succession Post Fire: Redwood Group [Type],900
128,1,2003,Succession Post Fire: Spruce/Fir Group [Type],1400
128,1,2003,Succession Post Fire: Tanoak/Laurel Group [Type],800
128,1,2003,Succession Post Fire: Tropical Hardwoods Group [Type],700
128,1,2003,Succession Post Fire: Western Larch Group [Type],1400
128,1,2003,Succession Post Fire: Western Oak Group [Type],1500
128,1,2003,Succession Post Fire: Western White Pine Group [Type],1300
128,1,2003,Succession Post Fire: White/Red/Jack Pine Group [Type],1100
128,1,2003,Succession: Post Fire Recovery,37900
128,1,2004,Urbanization: Open [Type],118900
128,1,2004,Urbanization: Low [Type],84600
128,1,2004,Urbanization: Medium [Type],57100
128,1,2004,Urbanization: High [Type],17500
128,1,2004,Intensification: Open to Low [Type],4100
128,1,2004,Intensification: Open to Medium [Type],13800
128,1,2004,Intensification: Open to High [Type],2700
128,1,2004,Intensification: Low to Medium [Type],6500
128,1,2004,Intensification: Low to High [Type],5000
128,1,2004,Intensification: Medium to High [Type],900
128,1,2004,Fire: High Severity [Type],234600
128,1,2004,Fire: Medium Severity [Type],491700
128,1,2004,Fire: Low Severity [Type],1612300
128,1,2004,Insect: High Severity [Type],310600
128,1,2004,Insect: Medium Severity [Type],943200
128,1,2004,Insect: Low Severity [Type],2183100
128,1,2004,Forest Harvest: Forest Clearcut [Type],1087100
128,1,2004,Forest Harvest: Forest Selection [Type],114600
128,1,2004,Ag Expansion: Pasture [Type],42800
128,1,2004,Ag Expansion: Cropland [Type],235700
128,1,2004,Ag Expansion,278500
128,1,2004,Ag Contraction,354700
128,1,2004,Urbanization,278100
128,1,2004,Intensification,33000
128,1,2004,Fire,2338600
128,1,2004,Insect,3436900
128,1,2004,Forest Harvest,1201700
128,1,2004,Ag Contraction: Alder/Maple Group [Type],8200
128,1,2004,Ag Contraction: Aspen/Birch Group [Type],12400
128,1,2004,Ag Contraction: California Mixed Conifer Group [Type],7900
128,1,2004,Ag Contraction: Douglas-fir Group [Type],10300
128,1,2004,Ag Contraction: Elm/Ash/Cottonwood Group [Type],10300
128,1,2004,Ag Contraction: Exotic Hardwoods Group [Type],10000
128,1,2004,Ag Contraction: Exotic Softwoods Group [Type],10700
128,1,2004,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],10100
128,1,2004,Ag Contraction: Hemlock/Sitka Spruce Group [Type],10000
128,1,2004,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],20000
128,1,2004,Ag Contraction: Lodgepole Pine Group [Type],9000
128,1,2004,Ag Contraction: Longleaf/Slash Pine Group [Type],12900
128,1,2004,Ag Contraction: Maple/Beech/Birch Group [Type],11600
128,1,2004,Ag Contraction: Oak/Gum/Cypress Group [Type],11900
128,1,2004,Ag Contraction: Oak/Hickory Group [Type],21900
128,1,2004,Ag Contraction: Oak/Pine Group [Type],10500
128,1,2004,Ag Contraction: Other Western Hardwoods Group [Type],10600
128,1,2004,Ag Contraction: Other Western Softwood Group [Type],9700
128,1,2004,Ag Contraction: Pinyon/Juniper Group [Type],10100
128,1,2004,Ag Contraction: Ponderosa Pine Group [Type],9700
128,1,2004,Ag Contraction: Redwood Group [Type],8800
128,1,2004,Ag Contraction: Spruce/Fir Group [Type],9200
128,1,2004,Ag Contraction: Tanoak/Laurel Group [Type],10000
128,1,2004,Ag Contraction: Tropical Hardwoods Group [Type],9500
128,1,2004,Ag Contraction: Western Larch Group [Type],8800
128,1,2004,Ag Contraction: Western Oak Group [Type],9200
128,1,2004,Ag Contraction: Western White Pine Group [Type],9100
128,1,2004,Ag Contraction: White/Red/Jack Pine Group [Type],8800
128,1,2004,Ag Contraction: Grassland [Type],19900
128,1,2004,Ag Contraction: Shrubland [Type],13800
128,1,2004,Ag Contraction: Wetland Herbaceous [Type],9800
128,1,2004,Ag Contraction: Wetland Woody [Type],10000
128,1,2004,Ag Contraction: Cropland,354700
128,1,2004,Ag Contraction: Pasture,354700
128,1,2004,Succession Post Fire: Alder/Maple Group [Type],1200
128,1,2004,Succession Post Fire: Aspen/Birch Group [Type],700
128,1,2004,Succession Post Fire: California Mixed Conifer Group [Type],1400
128,1,2004,Succession Post Fire: Douglas-fir Group [Type],3600
128,1,2004,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],1300
128,1,2004,Succession Post Fire: Exotic Hardwoods Group [Type],1100
128,1,2004,Succession Post Fire: Exotic Softwoods Group [Type],700
128,1,2004,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],1500
128,1,2004,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],1300
128,1,2004,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],1100
128,1,2004,Succession Post Fire: Lodgepole Pine Group [Type],1100
128,1,2004,Succession Post Fire: Longleaf/Slash Pine Group [Type],1100
128,1,2004,Succession Post Fire: Maple/Beech/Birch Group [Type],1000
128,1,2004,Succession Post Fire: Oak/Gum/Cypress Group [Type],800
128,1,2004,Succession Post Fire: Oak/Hickory Group [Type],800
128,1,2004,Succession Post Fire: Oak/Pine Group [Type],1600
128,1,2004,Succession Post Fire: Other Western Hardwoods Group [Type],1400
128,1,2004,Succession Post Fire: Other Western Softwood Group [Type],1300
128,1,2004,Succession Post Fire: Pinyon/Juniper Group [Type],1500
128,1,2004,Succession Post Fire: Ponderosa Pine Group [Type],2200
128,1,2004,Succession Post Fire: Redwood Group [Type],200
128,1,2004,Succession Post Fire: Spruce/Fir Group [Type],900
128,1,2004,Succession Post Fire: Tanoak/Laurel Group [Type],1700
128,1,2004,Succession Post Fire: Tropical Hardwoods Group [Type],1000
128,1,2004,Succession Post Fire: Western Larch Group [Type],1200
128,1,2004,Succession Post Fire: Western Oak Group [Type],1000
128,1,2004,Succession Post Fire: Western White Pine Group [Type],1000
128,1,2004,Succession Post Fire: White/Red/Jack Pine Group [Type],600
128,1,2004,Succession: Post Fire Recovery,34300
128,1,2005,Urbanization: Open [Type],111100
128,1,2005,Urbanization: Low [Type],81400
128,1,2005,Urbanization: Medium [Type],55700
128,1,2005,Urbanization: High [Type],17600
128,1,2005,Intensification: Open to Low [Type],5200
128,1,2005,Intensification: Open to Medium [Type],12300
128,1,2005,Intensification: Open to High [Type],1200
128,1,2005,Intensification: Low to Medium [Type],9100
128,1,2005,Intensification: Low to High [Type],7600
128,1,2005,Intensification: Medium to High [Type],1600
128,1,2005,Fire: High Severity [Type],64600
128,1,2005,Fire: Medium Severity [Type],94800
128,1,2005,Fire: Low Severity [Type],308500
128,1,2005,Insect: High Severity [Type],236100
128,1,2005,Insect: Medium Severity [Type],616000
128,1,2005,Insect: Low Severity [Type],1861200
128,1,2005,Forest Harvest: Forest Clearcut [Type],1102800
128,1,2005,Forest Harvest: Forest Selection [Type],80600
128,1,2005,Ag Expansion: Pasture [Type],38300
128,1,2005,Ag Expansion: Cropland [Type],234400
128,1,2005,Ag Expansion,272700
128,1,2005,Ag Contraction,351500
128,1,2005,Urbanization,265800
128,1,2005,Intensification,37000
128,1,2005,Fire,467900
128,1,2005,Insect,2713300
128,1,2005,Forest Harvest,1183400
128,1,2005,Ag Contraction: Alder/Maple Group [Type],8600
128,1,2005,Ag Contraction: Aspen/Birch Group [Type],9300
128,1,2005,Ag Contraction: California Mixed Conifer Group [Type],8800
128,1,2005,Ag Contraction: Douglas-fir Group [Type],8600
128,1,2005,Ag Contraction: Elm/Ash/Cottonwood Group [Type],10700
128,1,2005,Ag Contraction: Exotic Hardwoods Group [Type],9300
128,1,2005,Ag Contraction: Exotic Softwoods Group [Type],9300
128,1,2005,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],8100
128,1,2005,Ag Contraction: Hemlock/Sitka Spruce Group [Type],8000
