ScenarioID,Iteration,Timestep,StateClassID,StateLabelXID,StateLabelYID,Amount
128,1,2006,Forest: White/Red/Jack Pine Group,Forest,White/Red/Jack Pine Group,3124500
128,1,2006,Forest: Spruce/Fir Group,Forest,Spruce/Fir Group,6588600
128,1,2006,Forest: Longleaf/Slash Pine Group,Forest,Longleaf/Slash Pine Group,7388100
128,1,2006,Forest: Loblolly/Shortleaf Pine Group,Forest,Loblolly/Shortleaf Pine Group,29671000
128,1,2006,Forest: Pinyon/Juniper Group,Forest,Pinyon/Juniper Group,16759200
128,1,2006,Forest: Douglas-fir Group,Forest,Douglas-fir Group,20585000
128,1,2006,Forest: Ponderosa Pine Group,Forest,Ponderosa Pine Group,11975800
128,1,2006,Forest: Western White Pine Group,Forest,Western White Pine Group,86100
128,1,2006,Forest: Fir/Spruce/Mountain Hemlock Group,Forest,Fir/Spruce/Mountain Hemlock Group,14460600
128,1,2006,Forest: Lodgepole Pine Group,Forest,Lodgepole Pine Group,6454100
128,1,2006,Forest: Hemlock/Sitka Spruce Group,Forest,Hemlock/Sitka Spruce Group,1734100
128,1,2006,Forest: Western Larch Group,Forest,Western Larch Group,204000
128,1,2006,Forest: Redwood Group,Forest,Redwood Group,351600
128,1,2006,Forest: Other Western Softwood Group,Forest,Other Western Softwood Group,996000
128,1,2006,Forest: California Mixed Conifer Group,Forest,California Mixed Conifer Group,4453000
128,1,2006,Forest: Exotic Softwoods Group,Forest,Exotic Softwoods Group,65200
128,1,2006,Forest: Oak/Pine Group,Forest,Oak/Pine Group,8373300
128,1,2006,Forest: Oak/Hickory Group,Forest,Oak/Hickory Group,69541700
128,1,2006,Forest: Oak/Gum/Cypress Group,Forest,Oak/Gum/Cypress Group,11660700
128,1,2006,Forest: Elm/Ash/Cottonwood Group,Forest,Elm/Ash/Cottonwood Group,5603700
128,1,2006,Forest: Maple/Beech/Birch Group,Forest,Maple/Beech/Birch Group,24698300
128,1,2006,Forest: Aspen/Birch Group,Forest,Aspen/Birch Group,15040200
128,1,2006,Forest: Alder/Maple Group,Forest,Alder/Maple Group,823000
128,1,2006,Forest: Western Oak Group,Forest,Western Oak Group,6461500
128,1,2006,Forest: Tanoak/Laurel Group,Forest,Tanoak/Laurel Group,901200
128,1,2006,Forest: Other Western Hardwoods Group,Forest,Other Western Hardwoods Group,703400
128,1,2006,Forest: Tropical Hardwoods Group,Forest,Tropical Hardwoods Group,159200
128,1,2006,Forest: Exotic Hardwoods Group,Forest,Exotic Hardwoods Group,148800
128,1,2006,Shrubland: Post Fire Shrub,Shrubland,Post Fire Shrub,194200
128,1,2007,Water: All,Water,All,42408200
128,1,2007,Snow/Ice: All,Snow/Ice,All,53200
128,1,2007,Developed: Open Space,Developed,Open Space,4027000
128,1,2007,Developed: Low Intensity,Developed,Low Intensity,4759600
128,1,2007,Developed: Medium Intensity,Developed,Medium Intensity,3230800
128,1,2007,Developed: High Intensity,Developed,High Intensity,1268200
128,1,2007,Developed: Transportation,Developed,Transportation,28211400
128,1,2007,Barren: All,Barren,All,8196700
128,1,2007,Shrubland: All,Shrubland,All,152955500
128,1,2007,Grassland: All,Grassland,All,98819600
128,1,2007,Agriculture: Pasture,Agriculture,Pasture,53693100
128,1,2007,Agriculture: Cropland,Agriculture,Cropland,126829200
128,1,2007,Wetland: Woody,Wetland,Woody,4834700
128,1,2007,Wetland: Herbaceous,Wetland,Herbaceous,9486400
128,1,2007,Forest: White/Red/Jack Pine Group,Forest,White/Red/Jack Pine Group,3129800
128,1,2007,Forest: Spruce/Fir Group,Forest,Spruce/Fir Group,6593600
128,1,2007,Forest: Longleaf/Slash Pine Group,Forest,Longleaf/Slash Pine Group,7386000
128,1,2007,Forest: Loblolly/Shortleaf Pine Group,Forest,Loblolly/Shortleaf Pine Group,29665900
128,1,2007,Forest: Pinyon/Juniper Group,Forest,Pinyon/Juniper Group,16758300
128,1,2007,Forest: Douglas-fir Group,Forest,Douglas-fir Group,20572100
128,1,2007,Forest: Ponderosa Pine Group,Forest,Ponderosa Pine Group,11972500
128,1,2007,Forest: Western White Pine Group,Forest,Western White Pine Group,91700
128,1,2007,Forest: Fir/Spruce/Mountain Hemlock Group,Forest,Fir/Spruce/Mountain Hemlock Group,14441400
128,1,2007,Forest: Lodgepole Pine Group,Forest,Lodgepole Pine Group,6445700
128,1,2007,Forest: Hemlock/Sitka Spruce Group,Forest,Hemlock/Sitka Spruce Group,1739300
128,1,2007,Forest: Western Larch Group,Forest,Western Larch Group,209900
128,1,2007,Forest: Redwood Group,Forest,Redwood Group,355500
128,1,2007,Forest: Other Western Softwood Group,Forest,Other Western Softwood Group,1000800
128,1,2007,Forest: California Mixed Conifer Group,Forest,California Mixed Conifer Group,4456700
128,1,2007,Forest: Exotic Softwoods Group,Forest,Exotic Softwoods Group,71300
128,1,2007,Forest: Oak/Pine Group,Forest,Oak/Pine Group,8374400
128,1,2007,Forest: Oak/Hickory Group,Forest,Oak/Hickory Group,69523500
